,tone
15749,"{'document_tone': {'tones': [{'score': 0.927758, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Quiet relaxing comfortable.', 'tones': [{'score': 0.81922, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': 'Beautiful scenery.', 'tones': [{'score': 0.879112, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]}"
15750,{'document_tone': {'tones': []}}
15751,"{'document_tone': {'tones': [{'score': 0.671723, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15752,"{'document_tone': {'tones': [{'score': 0.964297, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15753,{'document_tone': {'tones': []}}
15754,"{'document_tone': {'tones': [{'score': 0.734647, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.849827, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
15755,{'document_tone': {'tones': []}}
15756,"{'document_tone': {'tones': [{'score': 0.943772, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15757,"{'document_tone': {'tones': [{'score': 0.924075, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15758,"{'document_tone': {'tones': [{'score': 0.907573, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.942582, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
15759,"{'document_tone': {'tones': [{'score': 0.934054, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
15760,"{'document_tone': {'tones': [{'score': 0.644505, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15761,{'document_tone': {'tones': []}}
15762,{'document_tone': {'tones': []}}
15763,"{'document_tone': {'tones': [{'score': 0.681323, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15764,"{'document_tone': {'tones': [{'score': 0.681323, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15765,{'document_tone': {'tones': []}}
15766,{'document_tone': {'tones': []}}
15767,"{'document_tone': {'tones': [{'score': 0.664928, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15768,"{'document_tone': {'tones': [{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
15769,"{'document_tone': {'tones': [{'score': 0.604121, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.942582, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
15770,"{'document_tone': {'tones': [{'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
15771,"{'document_tone': {'tones': [{'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
15772,{'document_tone': {'tones': []}}
15773,{'document_tone': {'tones': []}}
15774,{'document_tone': {'tones': []}}
15775,"{'document_tone': {'tones': [{'score': 0.675462, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15776,{'document_tone': {'tones': []}}
15777,"{'document_tone': {'tones': [{'score': 0.796807, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15778,"{'document_tone': {'tones': [{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
15779,"{'document_tone': {'tones': [{'score': 0.741494, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.849827, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
15780,{'document_tone': {'tones': []}}
15781,{'document_tone': {'tones': []}}
15782,{'document_tone': {'tones': []}}
15783,"{'document_tone': {'tones': [{'score': 0.693443, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15784,"{'document_tone': {'tones': [{'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.856622, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
15785,"{'document_tone': {'tones': [{'score': 0.543918, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15786,{'document_tone': {'tones': []}}
15787,{'document_tone': {'tones': []}}
15788,"{'document_tone': {'tones': [{'score': 0.695855, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.98445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Good hotel!', 'tones': [{'score': 0.858066, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': 'EXCEPT BFAST', 'tones': [{'score': 0.56883, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.982476, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
15789,"{'document_tone': {'tones': [{'score': 0.968123, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
15790,"{'document_tone': {'tones': [{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
15791,"{'document_tone': {'tones': [{'score': 0.581189, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15792,"{'document_tone': {'tones': [{'score': 0.581189, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15793,"{'document_tone': {'tones': [{'score': 0.720659, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
15794,"{'document_tone': {'tones': [{'score': 0.774157, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15795,"{'document_tone': {'tones': [{'score': 0.774157, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15796,{'document_tone': {'tones': []}}
15797,{'document_tone': {'tones': []}}
15798,{'document_tone': {'tones': []}}
15799,{'document_tone': {'tones': []}}
15800,"{'document_tone': {'tones': [{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.942582, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
15801,"{'document_tone': {'tones': [{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.942582, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
15802,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Decent value, but this place is Beat.', 'tones': []}, {'sentence_id': 1, 'text': 'Up.', 'tones': []}]}"
15803,"{'document_tone': {'tones': [{'score': 0.906839, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15804,"{'document_tone': {'tones': [{'score': 0.805199, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15805,"{'document_tone': {'tones': [{'score': 0.805199, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15806,{'document_tone': {'tones': []}}
15807,"{'document_tone': {'tones': [{'score': 0.727242, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
15808,"{'document_tone': {'tones': [{'score': 0.727242, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
15809,"{'document_tone': {'tones': [{'score': 0.844072, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15810,"{'document_tone': {'tones': [{'score': 0.562444, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.961633, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
15811,"{'document_tone': {'tones': [{'score': 0.63885, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.975399, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'The beds were very comfy!', 'tones': [{'score': 0.596517, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.961633, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'Walking distance to everything in town.', 'tones': [{'score': 0.510176, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]}"
15812,{'document_tone': {'tones': []}}
15813,"{'document_tone': {'tones': [{'score': 0.802442, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.92125, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
15814,"{'document_tone': {'tones': [{'score': 0.802442, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.92125, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
15815,"{'document_tone': {'tones': [{'score': 0.972306, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15816,"{'document_tone': {'tones': [{'score': 0.546813, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'No complaints!', 'tones': []}, {'sentence_id': 1, 'text': 'Great hotel!', 'tones': [{'score': 0.878503, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]}"
15817,"{'document_tone': {'tones': [{'score': 0.546813, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'No complaints!', 'tones': []}, {'sentence_id': 1, 'text': 'Great hotel!', 'tones': [{'score': 0.878503, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]}"
15818,"{'document_tone': {'tones': [{'score': 0.941898, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15819,{'document_tone': {'tones': []}}
15820,{'document_tone': {'tones': []}}
15821,"{'document_tone': {'tones': [{'score': 0.876893, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15822,"{'document_tone': {'tones': [{'score': 0.873377, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15823,"{'document_tone': {'tones': [{'score': 0.754692, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15824,{'document_tone': {'tones': []}}
15825,"{'document_tone': {'tones': [{'score': 0.861578, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15826,"{'document_tone': {'tones': [{'score': 0.678109, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15827,{'document_tone': {'tones': []}}
15828,"{'document_tone': {'tones': [{'score': 0.6649, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
15829,"{'document_tone': {'tones': [{'score': 0.717478, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15830,"{'document_tone': {'tones': [{'score': 0.717478, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15831,"{'document_tone': {'tones': [{'score': 0.740351, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Nice hotel.', 'tones': [{'score': 0.881393, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': 'Room was exceptional', 'tones': []}]}"
15832,"{'document_tone': {'tones': [{'score': 0.672935, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.986725, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Awesome price, very clean and comfortable.', 'tones': [{'score': 0.72032, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.942582, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'A+ sta', 'tones': []}]}"
15833,"{'document_tone': {'tones': [{'score': 0.774157, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15834,"{'document_tone': {'tones': [{'score': 0.608168, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15835,"{'document_tone': {'tones': [{'score': 0.830898, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.898327, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
15836,{'document_tone': {'tones': []}}
15837,"{'document_tone': {'tones': [{'score': 0.597099, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15838,{'document_tone': {'tones': []}}
15839,"{'document_tone': {'tones': [{'score': 0.918023, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15840,"{'document_tone': {'tones': [{'score': 0.58236, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.8152, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
15841,"{'document_tone': {'tones': [{'score': 0.635217, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15842,"{'document_tone': {'tones': [{'score': 0.839502, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.898327, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
15843,"{'document_tone': {'tones': [{'score': 0.839502, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.898327, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
15844,{'document_tone': {'tones': []}}
15845,{'document_tone': {'tones': []}}
15846,"{'document_tone': {'tones': [{'score': 0.942582, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
15847,"{'document_tone': {'tones': [{'score': 0.905367, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15848,"{'document_tone': {'tones': [{'score': 0.844194, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15849,"{'document_tone': {'tones': [{'score': 0.844194, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15850,"{'document_tone': {'tones': [{'score': 0.796847, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.97759, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
15851,"{'document_tone': {'tones': [{'score': 0.796847, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.97759, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
15852,"{'document_tone': {'tones': [{'score': 0.55135, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15853,"{'document_tone': {'tones': [{'score': 0.55135, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15854,"{'document_tone': {'tones': [{'score': 0.864316, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.91961, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
15855,"{'document_tone': {'tones': [{'score': 0.864316, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.91961, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
15856,"{'document_tone': {'tones': [{'score': 0.864316, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.91961, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
15857,"{'document_tone': {'tones': [{'score': 0.888354, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.849827, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
15858,"{'document_tone': {'tones': [{'score': 0.814354, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15859,"{'document_tone': {'tones': [{'score': 0.91961, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
15860,{'document_tone': {'tones': []}}
15861,{'document_tone': {'tones': []}}
15862,"{'document_tone': {'tones': [{'score': 0.692686, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15863,"{'document_tone': {'tones': [{'score': 0.86836, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.968123, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
15864,"{'document_tone': {'tones': [{'score': 0.551118, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15865,"{'document_tone': {'tones': [{'score': 0.515747, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
15866,"{'document_tone': {'tones': [{'score': 0.573817, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15867,"{'document_tone': {'tones': [{'score': 0.664103, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15868,{'document_tone': {'tones': []}}
15869,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Small.', 'tones': []}, {'sentence_id': 1, 'text': 'Small rooms, small pool, small bkfst area', 'tones': []}]}"
15870,{'document_tone': {'tones': []}}
15871,"{'document_tone': {'tones': [{'score': 0.833929, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15872,"{'document_tone': {'tones': [{'score': 0.833929, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15873,"{'document_tone': {'tones': [{'score': 0.833929, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15874,"{'document_tone': {'tones': [{'score': 0.906543, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.961633, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
15875,"{'document_tone': {'tones': [{'score': 0.845082, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
15876,{'document_tone': {'tones': []}}
15877,{'document_tone': {'tones': []}}
15878,"{'document_tone': {'tones': [{'score': 0.592067, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
15879,"{'document_tone': {'tones': [{'score': 0.592067, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
15880,{'document_tone': {'tones': []}}
15881,{'document_tone': {'tones': []}}
15882,{'document_tone': {'tones': []}}
15883,{'document_tone': {'tones': []}}
15884,{'document_tone': {'tones': []}}
15885,"{'document_tone': {'tones': [{'score': 0.590015, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
15886,"{'document_tone': {'tones': [{'score': 0.590015, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
15887,"{'document_tone': {'tones': [{'score': 0.878165, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15888,{'document_tone': {'tones': []}}
15889,{'document_tone': {'tones': []}}
15890,"{'document_tone': {'tones': [{'score': 0.880348, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15891,{'document_tone': {'tones': []}}
15892,"{'document_tone': {'tones': [{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
15893,{'document_tone': {'tones': []}}
15894,"{'document_tone': {'tones': [{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
15895,{'document_tone': {'tones': []}}
15896,{'document_tone': {'tones': []}}
15897,"{'document_tone': {'tones': [{'score': 0.73268, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15898,"{'document_tone': {'tones': [{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
15899,{'document_tone': {'tones': []}}
15900,{'document_tone': {'tones': []}}
15901,"{'document_tone': {'tones': [{'score': 0.752866, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'We came to this hotel to relax and sit in the hot tub.', 'tones': [{'score': 0.753234, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': 'We...', 'tones': []}]}"
15902,"{'document_tone': {'tones': [{'score': 0.668885, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.984352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
15903,"{'document_tone': {'tones': [{'score': 0.768693, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15904,"{'document_tone': {'tones': [{'score': 0.689378, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15905,"{'document_tone': {'tones': [{'score': 0.635525, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.975399, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'The manager was very rude and impolite.', 'tones': [{'score': 0.713363, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.92125, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'The faucet in the...', 'tones': []}]}"
15906,"{'document_tone': {'tones': [{'score': 0.635525, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.975399, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'The manager was very rude and impolite.', 'tones': [{'score': 0.713363, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.92125, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'The faucet in the...', 'tones': []}]}"
15907,"{'document_tone': {'tones': [{'score': 0.91961, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
15908,"{'document_tone': {'tones': [{'score': 0.664898, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15909,"{'document_tone': {'tones': [{'score': 0.69444, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15910,"{'document_tone': {'tones': [{'score': 0.814354, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15911,"{'document_tone': {'tones': [{'score': 0.720158, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15912,"{'document_tone': {'tones': [{'score': 0.720158, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15913,"{'document_tone': {'tones': [{'score': 0.720158, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15914,"{'document_tone': {'tones': [{'score': 0.720158, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15915,"{'document_tone': {'tones': [{'score': 0.757649, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.970663, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.995186, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Nice place!', 'tones': [{'score': 0.834623, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': 'Very reasonable pricing', 'tones': [{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.989586, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
15916,"{'document_tone': {'tones': [{'score': 0.78489, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15917,"{'document_tone': {'tones': [{'score': 0.78489, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15918,"{'document_tone': {'tones': [{'score': 0.78489, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15919,{'document_tone': {'tones': []}}
15920,{'document_tone': {'tones': []}}
15921,"{'document_tone': {'tones': [{'score': 0.805081, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15922,"{'document_tone': {'tones': [{'score': 0.877219, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15923,{'document_tone': {'tones': []}}
15924,{'document_tone': {'tones': []}}
15925,"{'document_tone': {'tones': [{'score': 0.578196, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15926,"{'document_tone': {'tones': [{'score': 0.807638, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
15927,"{'document_tone': {'tones': [{'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
15928,"{'document_tone': {'tones': [{'score': 0.646307, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
15929,"{'document_tone': {'tones': [{'score': 0.646307, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
15930,"{'document_tone': {'tones': [{'score': 0.761618, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.961633, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
15931,"{'document_tone': {'tones': [{'score': 0.739443, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
15932,"{'document_tone': {'tones': [{'score': 0.571353, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'First timers.', 'tones': [{'score': 0.626144, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': ""We'll be back!"", 'tones': []}]}"
15933,"{'document_tone': {'tones': [{'score': 0.571353, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'First timers.', 'tones': [{'score': 0.626144, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': ""We'll be back!"", 'tones': []}]}"
15934,{'document_tone': {'tones': []}}
15935,{'document_tone': {'tones': []}}
15936,"{'document_tone': {'tones': [{'score': 0.780078, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15937,"{'document_tone': {'tones': [{'score': 0.780078, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15938,{'document_tone': {'tones': []}}
15939,"{'document_tone': {'tones': [{'score': 0.968123, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
15940,"{'document_tone': {'tones': [{'score': 0.751512, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
15941,{'document_tone': {'tones': []}}
15942,"{'document_tone': {'tones': [{'score': 0.771625, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15943,{'document_tone': {'tones': []}}
15944,"{'document_tone': {'tones': [{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
15945,{'document_tone': {'tones': []}}
15946,"{'document_tone': {'tones': [{'score': 0.818038, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15947,"{'document_tone': {'tones': [{'score': 0.645177, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15948,"{'document_tone': {'tones': [{'score': 0.502233, 'tone_id': 'anger', 'tone_name': 'Anger'}]}}"
15949,{'document_tone': {'tones': []}}
15950,"{'document_tone': {'tones': [{'score': 0.638933, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15951,{'document_tone': {'tones': []}}
15952,"{'document_tone': {'tones': [{'score': 0.852278, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15953,"{'document_tone': {'tones': [{'score': 0.702906, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.942582, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
15954,{'document_tone': {'tones': []}}
15955,{'document_tone': {'tones': []}}
15956,"{'document_tone': {'tones': [{'score': 0.931034, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.916667, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.931034, 'tone_id': 'fear', 'tone_name': 'Fear'}]}}"
15957,"{'document_tone': {'tones': [{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.942582, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
15958,"{'document_tone': {'tones': [{'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
15959,{'document_tone': {'tones': []}}
15960,"{'document_tone': {'tones': [{'score': 0.921231, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15961,"{'document_tone': {'tones': [{'score': 0.707321, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15962,"{'document_tone': {'tones': [{'score': 0.83433, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15963,"{'document_tone': {'tones': [{'score': 0.939417, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15964,"{'document_tone': {'tones': [{'score': 0.939417, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
15965,"{'document_tone': {'tones': [{'score': 0.939417, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
